"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	"Month"	"Month Code"	Avg Daily Max Air Temperature (F)	Avg Daily Max Heat Index (F)
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1980"	"1980"	"Aug"	"8"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1980"	"1980"	"Sep"	"9"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1980"	"1980"	"Oct"	"10"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1980"	"1980"	"Nov"	"11"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1980"	"1980"	"Dec"	"12"	Missing	Missing
"Total"	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1980"	"1980"			Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1981"	"1981"	"Jan"	"1"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1981"	"1981"	"Feb"	"2"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1981"	"1981"	"Mar"	"3"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1981"	"1981"	"Apr"	"4"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1981"	"1981"	"May"	"5"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1981"	"1981"	"Jun"	"6"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1981"	"1981"	"Jul"	"7"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1981"	"1981"	"Aug"	"8"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1981"	"1981"	"Sep"	"9"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1981"	"1981"	"Oct"	"10"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1981"	"1981"	"Nov"	"11"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1981"	"1981"	"Dec"	"12"	Missing	Missing
"Total"	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1981"	"1981"			Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1982"	"1982"	"Jan"	"1"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1982"	"1982"	"Feb"	"2"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1982"	"1982"	"Mar"	"3"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1982"	"1982"	"Apr"	"4"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1982"	"1982"	"May"	"5"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1982"	"1982"	"Jun"	"6"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1982"	"1982"	"Jul"	"7"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1982"	"1982"	"Aug"	"8"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1982"	"1982"	"Sep"	"9"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1982"	"1982"	"Oct"	"10"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1982"	"1982"	"Nov"	"11"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1982"	"1982"	"Dec"	"12"	Missing	Missing
"Total"	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1982"	"1982"			Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1983"	"1983"	"Jan"	"1"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1983"	"1983"	"Feb"	"2"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1983"	"1983"	"Mar"	"3"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1983"	"1983"	"Apr"	"4"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1983"	"1983"	"May"	"5"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1983"	"1983"	"Jun"	"6"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1983"	"1983"	"Jul"	"7"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1983"	"1983"	"Aug"	"8"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1983"	"1983"	"Sep"	"9"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1983"	"1983"	"Oct"	"10"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1983"	"1983"	"Nov"	"11"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1983"	"1983"	"Dec"	"12"	Missing	Missing
"Total"	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1983"	"1983"			Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1984"	"1984"	"Jan"	"1"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1984"	"1984"	"Feb"	"2"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1984"	"1984"	"Mar"	"3"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1984"	"1984"	"Apr"	"4"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1984"	"1984"	"May"	"5"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1984"	"1984"	"Jun"	"6"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1984"	"1984"	"Jul"	"7"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1984"	"1984"	"Aug"	"8"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1984"	"1984"	"Sep"	"9"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1984"	"1984"	"Oct"	"10"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1984"	"1984"	"Nov"	"11"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1984"	"1984"	"Dec"	"12"	Missing	Missing
"Total"	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1984"	"1984"			Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1985"	"1985"	"Jan"	"1"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1985"	"1985"	"Feb"	"2"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1985"	"1985"	"Mar"	"3"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1985"	"1985"	"Apr"	"4"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1985"	"1985"	"May"	"5"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1985"	"1985"	"Jun"	"6"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1985"	"1985"	"Jul"	"7"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1985"	"1985"	"Aug"	"8"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1985"	"1985"	"Sep"	"9"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1985"	"1985"	"Oct"	"10"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1985"	"1985"	"Nov"	"11"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1985"	"1985"	"Dec"	"12"	Missing	Missing
"Total"	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1985"	"1985"			Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1986"	"1986"	"Jan"	"1"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1986"	"1986"	"Feb"	"2"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1986"	"1986"	"Mar"	"3"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1986"	"1986"	"Apr"	"4"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1986"	"1986"	"May"	"5"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1986"	"1986"	"Jun"	"6"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1986"	"1986"	"Jul"	"7"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1986"	"1986"	"Aug"	"8"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1986"	"1986"	"Sep"	"9"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1986"	"1986"	"Oct"	"10"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1986"	"1986"	"Nov"	"11"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1986"	"1986"	"Dec"	"12"	Missing	Missing
"Total"	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1986"	"1986"			Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1987"	"1987"	"Jan"	"1"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1987"	"1987"	"Feb"	"2"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1987"	"1987"	"Mar"	"3"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1987"	"1987"	"Apr"	"4"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1987"	"1987"	"May"	"5"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1987"	"1987"	"Jun"	"6"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1987"	"1987"	"Jul"	"7"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1987"	"1987"	"Aug"	"8"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1987"	"1987"	"Sep"	"9"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1987"	"1987"	"Oct"	"10"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1987"	"1987"	"Nov"	"11"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1987"	"1987"	"Dec"	"12"	Missing	Missing
"Total"	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1987"	"1987"			Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1988"	"1988"	"Jan"	"1"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1988"	"1988"	"Feb"	"2"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1988"	"1988"	"Mar"	"3"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1988"	"1988"	"Apr"	"4"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1988"	"1988"	"May"	"5"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1988"	"1988"	"Jun"	"6"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1988"	"1988"	"Jul"	"7"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1988"	"1988"	"Aug"	"8"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1988"	"1988"	"Sep"	"9"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1988"	"1988"	"Oct"	"10"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1988"	"1988"	"Nov"	"11"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1988"	"1988"	"Dec"	"12"	Missing	Missing
"Total"	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1988"	"1988"			Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1989"	"1989"	"Jan"	"1"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1989"	"1989"	"Feb"	"2"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1989"	"1989"	"Mar"	"3"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1989"	"1989"	"Apr"	"4"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1989"	"1989"	"May"	"5"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1989"	"1989"	"Jun"	"6"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1989"	"1989"	"Jul"	"7"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1989"	"1989"	"Aug"	"8"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1989"	"1989"	"Sep"	"9"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1989"	"1989"	"Oct"	"10"	Missing	Missing
