State,State Code,County,County Code,Year,Year Code,Month,Month Code,Avg Daily Max Air Temperature (F),Avg Daily Max Heat Index (F),Cases
Arizona,4.0,Cochise,4003.0,2011,2011.0,Oct,10,78.0328,81.238,4
Arizona,4.0,Cochise,4003.0,2011,2011.0,Nov,11,62.3042,78.7727,5
Arizona,4.0,Coconino,4005.0,2000,2000.0,Apr,4,67.7948,80.4274,0
Arizona,4.0,Coconino,4005.0,2000,2000.0,May,5,77.7592,82.8365,1
Arizona,4.0,Coconino,4005.0,2000,2000.0,Jun,6,85.1198,83.9239,0
Arizona,4.0,Coconino,4005.0,2000,2000.0,Jul,7,88.7164,85.9641,1
Arizona,4.0,Coconino,4005.0,2000,2000.0,Aug,8,86.1506,85.8405,1
Arizona,4.0,Coconino,4005.0,2000,2000.0,Sep,9,80.4975,82.4926,0
Arizona,4.0,Coconino,4005.0,2000,2000.0,Oct,10,63.7109,80.7565,1
Arizona,4.0,Coconino,4005.0,2001,2001.0,Apr,4,61.7789,79.539,0
Arizona,4.0,Coconino,4005.0,2001,2001.0,May,5,77.5011,81.636,0
Arizona,4.0,Coconino,4005.0,2001,2001.0,Jun,6,84.6019,84.5123,0
Arizona,4.0,Coconino,4005.0,2001,2001.0,Jul,7,86.3243,84.929,4
Arizona,4.0,Coconino,4005.0,2001,2001.0,Aug,8,86.5719,85.2503,0
Arizona,4.0,Coconino,4005.0,2001,2001.0,Sep,9,82.446,82.221,3
Arizona,4.0,Coconino,4005.0,2001,2001.0,Oct,10,70.8974,79.867,0
Arizona,4.0,Coconino,4005.0,2002,2002.0,Apr,4,67.6005,79.4514,1
Arizona,4.0,Coconino,4005.0,2002,2002.0,May,5,73.7579,82.7503,1
Arizona,4.0,Coconino,4005.0,2002,2002.0,Jun,6,86.8045,85.1159,0
Arizona,4.0,Coconino,4005.0,2002,2002.0,Jul,7,91.1465,87.786,0
Arizona,4.0,Coconino,4005.0,2002,2002.0,Aug,8,87.4313,85.2882,3
Arizona,4.0,Coconino,4005.0,2002,2002.0,Sep,9,78.0357,82.0678,2
Arizona,4.0,Coconino,4005.0,2002,2002.0,Oct,10,64.7353,78.9815,0
Arizona,4.0,Coconino,4005.0,2003,2003.0,May,5,74.9441,83.2296,1
Arizona,4.0,Coconino,4005.0,2003,2003.0,Jun,6,83.5745,83.4758,0
Arizona,4.0,Coconino,4005.0,2003,2003.0,Jul,7,92.5399,88.8413,2
Arizona,4.0,Coconino,4005.0,2003,2003.0,Aug,8,86.8325,85.4263,1
Arizona,4.0,Coconino,4005.0,2003,2003.0,Sep,9,81.1483,82.2691,1
Arizona,4.0,Coconino,4005.0,2003,2003.0,Oct,10,73.5475,80.3921,1
Arizona,4.0,Coconino,4005.0,2004,2004.0,Mar,3,62.6655,79.4094,0
Arizona,4.0,Coconino,4005.0,2004,2004.0,Apr,4,62.0187,79.1899,0
Arizona,4.0,Coconino,4005.0,2004,2004.0,May,5,74.5922,80.289,1
Arizona,4.0,Coconino,4005.0,2004,2004.0,Jun,6,83.5499,83.1332,1
Arizona,4.0,Coconino,4005.0,2004,2004.0,Jul,7,87.374,84.9667,1
Arizona,4.0,Coconino,4005.0,2004,2004.0,Aug,8,83.8485,83.6979,1
Arizona,4.0,Coconino,4005.0,2004,2004.0,Sep,9,76.7776,82.1639,0
Arizona,4.0,Coconino,4005.0,2004,2004.0,Oct,10,62.5945,79.2485,1
Arizona,4.0,Coconino,4005.0,2005,2005.0,May,5,73.0262,82.6081,1
Arizona,4.0,Coconino,4005.0,2005,2005.0,Jun,6,79.4317,82.877,1
Arizona,4.0,Coconino,4005.0,2005,2005.0,Jul,7,90.4261,87.4032,2
Arizona,4.0,Coconino,4005.0,2005,2005.0,Aug,8,83.1624,83.2007,0
